Category,Amount,Expense Date,Long Description,Short Description
Food,49,1/11/16,,
Miscellaneous,52,8/11/16,,
Food,45,15/11/16,,
Food,54,22/11/16,,
Food,51,29/11/16,,
Miscellaneous,51,6/12/16,,
Petrol,64,13/12/16,,
Food,55,20/12/16,,
Food,84,27/12/16,,
Charity,45,3/1/17,,
Food,46,10/1/17,,
Food,27,17/1/17,,
Fun,57,24/1/17,,
Fun,81,31/1/17,,
Food,42,7/2/17,,
Miscellaneous,11,14/2/17,,
Food,80,21/2/17,,
Food,93,28/2/17,,
Food,35,7/3/17,,
Miscellaneous,49,14/3/17,,
Petrol,93,21/3/17,,
Food,95,28/3/17,,
Food,98,4/4/17,,
Charity,68,11/4/17,,
Food,36,18/4/17,,
Food,19,25/4/17,,
Fun,81,2/5/17,,
Fun,65,9/5/17,,
Food,43,16/5/17,,
Miscellaneous,49,23/5/17,,
Food,48,30/5/17,,
Food,71,6/6/17,,
Food,54,13/6/17,,
Miscellaneous,14,20/6/17,,Gift
Petrol,51,27/6/17,,
Food,75,4/7/17,,
Food,21,11/7/17,,
Charity,59,18/7/17,,
Food,67,25/7/17,,
Food,52,1/8/17,,
Fun,37,8/8/17,,
Fun,42,15/8/17,,
Food,90,22/8/17,,
Miscellaneous,89,29/8/17,,Petrol
Food,48,5/9/17,,
Food,27,12/9/17,,
Food,43,19/9/17,,
Miscellaneous,14,26/9/17,,Mobile
Petrol,90,3/10/17,,
Food,13,6/10/17,,
Food,92,9/10/17,,
Charity,16,12/10/17,,
Food,67,15/10/17,,
Food,100,18/10/17,,
Fun,55,21/10/17,,
Fun,53,24/10/17,,
