Category,Amount,Expense Date,Long Description,Short Description
Utilities,62,2/11/16,,
Miscellaneous,105,9/11/16,,
Food,178,16/11/16,,
Petrol,125,23/11/16,,
Food,86,30/11/16,,
Miscellaneous,195,7/12/16,,
Petrol,158,14/12/16,,
Food,146,21/12/16,,
Mobile,100,28/12/16,,
Charity,153,4/1/17,,
Food,100,11/1/17,,
Rent,81,18/1/17,,
Utilities,68,25/1/17,,
Miscellaneous,155,1/2/17,,
Food,150,8/2/17,,
Petrol,142,15/2/17,,
Food,115,22/2/17,,
Miscellaneous,128,1/3/17,,
Petrol,187,8/3/17,,
Food,50,15/3/17,,
Mobile,49,22/3/17,,
Charity,132,29/3/17,,
Food,96,5/4/17,,
Rent,125,12/4/17,,
Utilities,144,19/4/17,,
Miscellaneous,182,26/4/17,,
Food,86,3/5/17,,
Petrol,83,10/5/17,,
Food,137,17/5/17,,
Miscellaneous,153,24/5/17,,
Petrol,151,31/5/17,,
Food,188,7/6/17,,
Mobile,151,14/6/17,,
Charity,138,21/6/17,,
Food,45,28/6/17,,
Rent,54,5/7/17,,
Utilities,66,12/7/17,,
Miscellaneous,181,19/7/17,,
Food,39,26/7/17,,
Petrol,64,2/8/17,,
Food,32,9/8/17,,
Miscellaneous,133,16/8/17,,
Petrol,43,23/8/17,,
Food,68,30/8/17,,
Mobile,53,6/9/17,,
Charity,141,13/9/17,,
Food,42,20/9/17,,
Rent,197,27/9/17,,
Utilities,72,4/10/17,,
Miscellaneous,108,11/10/17,,
Food,158,18/10/17,,Really delicious meal
Petrol,181,25/10/17,,
Food,182,1/11/17,,
Miscellaneous,97,8/11/17,,
Petrol,33,15/11/17,,
Food,161,22/11/17,,
